Brain-Neurocranium,,,,,,,,,,,,
Location,chr,pos (cM),LOD NC_PC1,info,LOD*info,,,,,,,
c7.loc20,7,20,8.722,0.983,8.575,22.2008,21.8710,19.12355,28.03724,-0.010916892,-0.006045965,0.009229522
,,,,,,,,,,,,
,,,,,,,,,,,,
Brain-Rostrum,,,,,,,,,,,,
Location,chr,pos (cM),LOD Rost_PC1,info,LOD*info,,,,,,,
c1.loc10,1,10,1.397,0.995,1.39,,,,,,,
c2.loc30,2,30,0.967,0.816,0.789,,,,,,,
c3.loc60,3,60,5.138,1.149,5.905,,,,,,,
scaffold_46_1956853,4,0,1.02,1.159,1.182,,,,,,,
c5.loc75,5,75,3.675,1.086,3.991,,,,,,,
c6.loc25,6,25,1.275,0.682,0.87,,,,,,,
c7.loc15,7,15,0.838,1.048,0.878,,,,,,,
c8.loc15,8,15,1.026,1.015,1.041,,,,,,,
c9.loc15,9,15,1.411,1.017,1.435,,,,,,,
c10.loc25,10a,25,1.078,1.15,1.24,,,,,,,
c11.loc15,10b,15,0.589,1.148,0.677,,,,,,,
c12.loc15,11,15,1.871,1.082,2.024,,,,,,,
c13.loc5,12,5,0.992,1.061,1.052,,,,,,,
scaffold_26_2061138,13a,0,0.357,1.159,0.414,,,,,,,
scaffold_26_1362137,13b,0,0.733,1.159,0.849,,,,,,,
c16.loc15,14,15,1.005,0.823,0.827,,,,,,,
c17.loc50,15,50,1.464,1.094,1.601,,,,,,,
c18.loc35,16,35,1.136,0.952,1.081,,,,,,,
c19.loc50,17,50,1.873,1.07,2.005,,,,,,,
scaffold_109_46112,18,0,1.629,1.159,1.887,,,,,,,
c21.loc25,19,25,0.957,1.023,0.979,,,,,,,
c22.loc75,20,75,0.725,1.129,0.819,,,,,,,
c23.loc55,21,55,1.49,1.092,1.626,,,,,,,
c24.loc40,22,40,0.676,1.032,0.698,,,,,,,
,,,,,,,,,,,,
LOD Threshold Levels,,,,,,,,,,,,
5%,2.66,,,,,,,,,,,
10%,2.54,,,,,,,,,,,
,,,,,,,,,,,,
Sig. QTL Info.,,,,,,,,,,Allele Effects,,
Marker,chr,pos (cM),LOD Rost_PC1,info,LOD*info,PVE LOD,PVE LOD*info,Sig. QTL Interval Start (cM),Sig. QTL Interval End (cM),TRC/TRC,LF/TRC,LF/LF
c3.loc60,3,60,5.138,1.149,5.905,13.7468,15.6301,56.92247,62.73736,-0.022650222,0.004333267,0.001276923
c5.loc75,5,75,3.675,1.086,3.991,10.0373,10.8518,52.59955,75.2353,-0.006309986,0.003448126,0.00604195
,,,,,,,,,,,,
,,,,,,,,,,,,
Rostrum-Brain,,,,,,,,,,,,
Location,chr,pos (cM),LOD Rost_PC2,info,LOD*info,,,,,,,
c1.loc30,1,30,0.696,0.816,0.568,,,,,,,
c2.loc45,2,45,1.027,0.935,0.96,,,,,,,
c3.loc60,3,60,1.929,1.16,2.238,,,,,,,
c4.loc55,4,55,1.302,1.14,1.485,,,,,,,
c5.loc25,5,25,2.149,1.129,2.427,,,,,,,
c6.loc40,6,40,1.507,1.121,1.689,,,,,,,
c7.loc20,7,20,7.294,1.068,7.786,,,,,,,
c8.loc45,8,45,1.595,1.035,1.651,,,,,,,
c9.loc25,9,25,0.989,0.946,0.936,,,,,,,
c10.loc30,10a,30,1.418,1.103,1.564,,,,,,,
scaffold_50_2376745,10b,19.6,0.554,1,0.554,,,,,,,
c12.loc45,11,45,1.487,0.948,1.411,,,,,,,
scaffold_9_6193445,12,19,3.31,1,3.31,,,,,,,
c14.loc45,13a,45,0.681,1.16,0.79,,,,,,,
c15.loc15,13b,15,0.327,1.097,0.359,,,,,,,
c16.loc10,14,10,1.624,1.077,1.749,,,,,,,
c17.loc50,15,50,0.996,1.103,1.098,,,,,,,
c18.loc5,16,5,2.398,1.155,2.77,,,,,,,
c19.loc55,17,55,1.925,1.052,2.026,,,,,,,
c20.loc5,18,5,1.479,1.015,1.5,,,,,,,
c21.loc30,19,30,0.94,1.082,1.017,,,,,,,
c22.loc90,20,90,2.12,1.02,2.162,,,,,,,
c23.loc20,21,20,1.165,0.838,0.976,,,,,,,
c24.loc60,22,60,1.449,1.157,1.676,,,,,,,
,,,,,,,,,,,,
LOD Threshold Levels,,,,,,,,,,,,
5%,2.61,,,,,,,,,,,
10%,2.44,,,,,,,,,,,
,,,,,,,,,,,,
Sig. QTL Info.,,,,,,,,,,Allele Effects,,
Marker,chr,pos (cM),LOD Rost_PC2,info,LOD*info,PVE LOD,PVE LOD*info,Sig. QTL Interval Start (cM),Sig. QTL Interval End (cM),TRC/TRC,LF/TRC,LF/LF
c7.loc20,7,20,7.294,1.068,7.786,18.9366,20.0764,19.12355,28.03724,-0.00760273,-0.004430414,0.00647726
scaffold_9_6193445,12,19,3.31,1,3.31,9.0872,9.0872,11.68599,19.01145,0.001746456,-0.007472073,-0.012082273
,,,,,,,,,,,,
,,,,,,,,,,,,
Brain-Braincase,,,,,,,,,,,,
Location,chr,pos (cM),LOD BC_PC1,info,LOD*info,,,,,,,
c1.loc40,1,40,0.778,0.734,0.571,,,,,,,
c2.loc10,2,10,0.568,1.105,0.627,,,,,,,
c3.loc60,3,60,1.345,1.135,1.526,,,,,,,
c4.loc40,4,40,1.244,0.863,1.074,,,,,,,
c5.loc70,5,70,1.564,1.003,1.568,,,,,,,
scaffold_140_1285494,6,52.3,1.016,1,1.016,,,,,,,
c7.loc20,7,20,4.585,1.048,4.806,,,,,,,
c8.loc10,8,10,1.032,0.967,0.999,,,,,,,
c9.loc30,9,30,1.185,1.017,1.205,,,,,,,
c10.loc25,10a,25,2.248,1.144,2.572,,,,,,,
c11.loc5,10b,5,0.947,1.07,1.014,,,,,,,
scaffold_249_209454,11,0,1.428,1.152,1.645,,,,,,,
c13.loc10,12,10,0.496,1.123,0.558,,,,,,,
c14.loc25,13a,25,0.753,1.081,0.814,,,,,,,
scaffold_33_4451453,13b,17.2,0.258,1,0.258,,,,,,,
c16.loc10,14,10,1.313,1.074,1.41,,,,,,,
c17.loc20,15,20,1.252,0.834,1.044,,,,,,,
c18.loc50,16,50,2.698,1.128,3.043,,,,,,,
c19.loc60,17,60,1.508,1.076,1.622,,,,,,,
scaffold_109_46112,18,0,0.896,1.152,1.032,,,,,,,
c21.loc35,19,35,0.84,1.094,0.919,,,,,,,
c22.loc50,20,50,1.798,1.016,1.827,,,,,,,
scaffold_92_2675650,21,59.5,0.651,1,0.651,,,,,,,
c24.loc5,22,5,1.184,1.035,1.226,,,,,,,
,,,,,,,,,,,,
LOD Threshold Levels,,,,,,,,,,,,
5%,2.59,,,,,,,,,,,
10%,2.44,,,,,,,,,,,
,,,,,,,,,,,,
Sig. QTL Info.,,,,,,,,,,Allele Effects,,
Marker,chr,pos (cM),LOD BC_PC1,info,LOD*info,PVE LOD,PVE LOD*info,Sig. QTL Interval Start (cM),Sig. QTL Interval End (cM),TRC/TRC,LF/TRC,LF/LF
c7.loc20,7,20,4.585,1.048,4.806,12.3630,12.9187,13.44057,28.03724,0.00634073,0.002140655,-0.00455393
c18.loc50,16,50,2.698,1.128,3.043,7.4716,8.3859,12.2337,55.98355,0.006406331,-0.003245406,0.002216172
,,,,,,,,,,,,
,,,,,,,,,,,,
Braincase-Brain,,,,,,,,,,,,
Location,chr,pos (cM),LOD BC_PC2,info,LOD*info,,,,,,,
c1.loc55,1,55,1.156,0.904,1.045,,,,,,,
c2.loc5,2,5,1.762,0.878,1.547,,,,,,,
c3.loc60,3,60,2.591,1.032,2.674,,,,,,,
c4.loc10,4,10,1.477,0.95,1.404,,,,,,,
c5.loc75,5,75,2.54,0.97,2.464,,,,,,,
c6.loc20,6,20,1.654,0.998,1.651,,,,,,,
c7.loc20,7,20,8.165,0.953,7.782,,,,,,,
c8.loc45,8,45,1.9,0.917,1.742,,,,,,,
c9.loc50,9,50,0.847,0.791,0.67,,,,,,,
scaffold_22_2628020,10a,0,0.562,1.045,0.587,,,,,,,
c11.loc10,10b,10,1.449,0.976,1.414,,,,,,,
c12.loc70,11,70,2.703,1.018,2.751,,,,,,,
c13.loc15,12,15,1.245,0.997,1.241,,,,,,,
c14.loc45,13a,45,1.048,1.036,1.086,,,,,,,
c15.loc5,13b,5,0.255,1.032,0.263,,,,,,,
c16.loc10,14,10,2.242,0.967,2.167,,,,,,,
c17.loc25,15,25,0.972,0.743,0.722,,,,,,,
c18.loc50,16,50,1.489,1.022,1.521,,,,,,,
c19.loc45,17,45,2.685,0.914,2.454,,,,,,,
c20.loc30,18,30,1.274,0.977,1.244,,,,,,,
c21.loc30,19,30,2.797,0.966,2.701,,,,,,,
c22.loc15,20,15,1.773,0.862,1.527,,,,,,,
c23.loc50,21,50,1.324,0.995,1.317,,,,,,,
c24.loc60,22,60,2.221,1.032,2.293,,,,,,,
,,,,,,,,,,,,
LOD Threshold Levels,,,,,,,,,,,,
5%,2.86,,,,,,,,,,,
10%,2.64,,,,,,,,,,,
,,,,,,,,,,,,
Sig. QTL Info.,,,,,,,,,,Allele Effects,,
Marker,chr,pos (cM),LOD BC_PC2,info,LOD*info,PVE LOD,PVE LOD*info,Sig. QTL Interval Start (cM),Sig. QTL Interval End (cM),TRC/TRC,LF/TRC,LF/LF
c7.loc20,7,20,8.165,0.953,7.782,20.9435,20.0672,19.12355,28.03724,0.006767655,0.004422647,-0.006265086
